id,title,model_number,image_list,key_features_list,features_list,specifications_list,documents_list,product_link,status
11,Entry Number Of Cylinders,Model Number: SC.WESxROU.TSR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_wes-150_c1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_rou-tsr-150_c2?$bal%2DproductDetailLarge$""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Projection"", ""3-1/16""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/4""], [""Partial Model"", ""SC.WESxROU.TSR.150""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/westcliff-handleset-x-round-knob-square-interior?variant=sc-wesxrouxtsr-150,Done
19,Entry Number Of Cylinders,Model Number: SC.WESxDEC.L.TSR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_wes-150_c1?$bal%2DproductDetailLarge$""]",[],[],"[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Projection"", ""3-1/16""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/4""], [""Partial Model"", ""SC.WESxDEC.L.TSR.150""], [""Entry Number Of Cylinders"", ""1""]]","[[""Single Cylinder Handleset Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047040-br-single-cylinder-handleset.pdf""], [""Drilling Instructions - Handleset"", ""https://baldwinhardware.blob.core.windows.net/documents/5048346-br-drilling-handleset.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/westcliff-handleset-x-decorative-lever-square-interior?variant=sc-wesxdecxtsr-150,Done
26,Interior Locking Type,Model Number: SC.TRD.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_trd-150_c1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_pr-db-rdb-sc-15-smt-cb?$bal%2Dprslider$""]","[""The combination of Reserve style and the security of a keyed cylinder, all within the 2.125\"" standard door preparation."", ""Complete deadbolt set includes everything needed to install the lock onto your door"", ""Traditional Round Deadbolt is the perfect residential lock providing security for any home or multi-home exterior door."", ""2 Keys Included with deadbolt""]","[""The combination of Reserve style and the security of a keyed cylinder, all within the 2.125\"" standard door preparation."", ""Complete deadbolt set includes everything needed to install the lock onto your door"", ""Traditional Round Deadbolt is the perfect residential lock providing security for any home or multi-home exterior door."", ""2 Keys Included with deadbolt"", ""Includes 6 Way Adjustable Front & Latch options: Round corner, Square corner and Drive in collar"", ""Latch has adjustable backset 2.375\"" to 2.75\"" to fit all standard door preparations"", ""Shipped with a Dual Strike kit that includes both Square Corner & Round Corner Strikes"", ""Features a 1 inch brass deadbolt throw"", ""Locking mechanism functions with turn piece on the interior of the lock"", ""Additional functions in this style also include double cylinder and patio""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Single Cylinder""], [""Projection"", ""1-7/16""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1.75""], [""Partial Model"", ""SC.TRD.150""], [""Entry Number Of Cylinders"", ""1.0""], [""Exterior Locking Points"", ""1.0""], [""Interior Locking Type"", ""Turn Piece""]]","[[""Single Cylinder Deadbolt Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047032-br-smartkey.pdf""], [""Single Cylinder Deadbolt Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047039-br-single-cylinder-deadbolt.pdf""], [""Drilling Instructions - Deadbolt"", ""https://baldwinhardware.blob.core.windows.net/documents/5048336-br-drilling-deadbolt.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/traditional-round-deadbolt?variant=sc-trd-150,Done
37,Entry Number Of Cylinders,Model Number: SC.NAPxTRA.TSR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_nap-003_c1?$bal%2DproductDetailLarge$""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Knob Diameter"", ""2-7/32""], [""Projection"", ""2-8/9""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/8""], [""Partial Model"", ""SC.NAPxTRA.TSR.150""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Single Cylinder Handleset Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047040-br-single-cylinder-handleset.pdf""], [""Drilling Instructions - Handleset"", ""https://baldwinhardware.blob.core.windows.net/documents/5048346-br-drilling-handleset.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/napa-handleset-x-traditional-knob-square-interior?variant=sc-napxtraxtsr-150,Done
45,Entry Number Of Cylinders,Model Number: SC.NAPxFED.R.TAR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_nap-260_c1?$bal%2DproductDetailLarge$""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Projection"", ""2-8/9""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/4""], [""Partial Model"", ""SC.NAPxFED.R.TAR.150""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/napa-handleset-x-federal-lever-arch-interior?variant=sc-napxfedxtar-150,Done
52,Entry Number Of Cylinders,Model Number: SC.NAPxCUR.R.TRR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_sc-napxcur-r-trr-003_sbs1?$bal%2DproductDetailLarge$""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Lever Grip Length"", ""3-31/32""], [""Projection"", ""2-8/9""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/8""], [""Partial Model"", ""SC.NAPxCUR.R.TRR.150""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Single Cylinder Handleset Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047040-br-single-cylinder-handleset.pdf""], [""Drilling Instructions - Handleset"", ""https://baldwinhardware.blob.core.windows.net/documents/5048346-br-drilling-handleset.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/napa-handleset-x-curve-lever-round-interior?variant=sc-napxcurxtrr-150,Done
305,Lock Function,Model Number: R053.056.PS,"[""https://images.baldwinhardware.com/is/image/Baldwin/r053-056-ps-fd-ipv-c1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/r053-056-ps-fd-ipv-c3?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/r053-056-ps-fd-ipv-c1?$bal-prslider$"", ""https://images.baldwinhardware.com/is/image/Baldwin/r053-056-pv-ipv-c1?$bal-prslider$"", ""https://images.baldwinhardware.com/is/image/Baldwin/5058-056-ps-fd-idm-c1?$bal%2Dprslider$""]","[""Satin Nickel that is smooth and clean is a nickel-plated brass, bringing the beauty of the finish with the weight of brass. All covered by the Baldwin Limited Lifetime Finish™ Warranty, creating a crisp and clean look for both traditional and contemporary designs.""]","[""Satin Nickel that is smooth and clean is a nickel-plated brass, bringing the beauty of the finish with the weight of brass. All covered by the Baldwin Limited Lifetime Finish™ Warranty, creating a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", [""Tubular"", ""Mortise""]], [""Style"", ""Transitional""], [""Lock Function"", ""Passage""]]","[[""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-estate-limited-warranties.pdf?sfvrsn=4cfbe3db_3""]]",https://www.baldwinhardware.com/p/r053-hollywood-hills-rose-passage?variant=pass-r053-056,Done
65,Interior Locking Type,Model Number: SC.CRD.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_rs-sc-crd-150-cb?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_rs-sc-crd-150-vb1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_rs-sc-crd-150-v1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_pr-db-rdb-sc-15-smt-cb?$bal%2Dprslider$""]","[""The combination of Reserve style and the security of a keyed cylinder, all within the 2.125\"" standard door preparation."", ""Complete deadbolt set includes everything needed to install the lock onto your door"", ""Reserve Contemporary Round Deadbolt is an aesthetically pleasing, perfect for any contemporary exterior home door where a keyed entry is desired."", ""2 Keys Included with deadbolt""]","[""The combination of Reserve style and the security of a keyed cylinder, all within the 2.125\"" standard door preparation."", ""Complete deadbolt set includes everything needed to install the lock onto your door"", ""Reserve Contemporary Round Deadbolt is an aesthetically pleasing, perfect for any contemporary exterior home door where a keyed entry is desired."", ""2 Keys Included with deadbolt"", ""Includes 6 Way Adjustable Front & Latch options: Round corner, Square corner and Drive in collar"", ""Latch has adjustable backset 2.375\"" to 2.75\"" to fit all standard door preparations"", ""Shipped with a Dual Strike kit that includes both Square Corner & Round Corner Strikes"", ""Features a 1 inch brass deadbolt throw"", ""Locking mechanism functions with turn piece on the interior of the lock"", ""Additional functions in this style also include double cylinder and patio""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Contemporary""], [""Lock Function"", ""Single Cylinder""], [""Projection"", ""1-7/16""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1.75""], [""Partial Model"", ""SC.CRD.150""], [""Entry Number Of Cylinders"", ""1.0""], [""Exterior Locking Points"", ""1.0""], [""Interior Locking Type"", ""Turn Piece""]]","[[""Single Cylinder Deadbolt Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047032-br-smartkey.pdf""], [""Single Cylinder Deadbolt Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047039-br-single-cylinder-deadbolt.pdf""], [""Drilling Instructions - Deadbolt"", ""https://baldwinhardware.blob.core.windows.net/documents/5048336-br-drilling-deadbolt.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/contemporary-round-deadbolt?variant=sc-crd-150,Done
75,Entry Number Of Cylinders,Model Number: SC.COLxELL.TAR.150,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_col-150_c1?$bal%2DproductDetailLarge$"", ""https://images.baldwinhardware.com/is/image/Baldwin/bw_ell-tar-150_c2?$bal%2DproductDetailLarge$""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[""Nickel-plated brass creates a crisp and clean look for both traditional and contemporary designs.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Traditional""], [""Lock Function"", ""Entry""], [""Knob Diameter"", ""2-7/16""], [""Projection"", ""2-8/9""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/8""], [""Partial Model"", ""SC.COLxELL.TAR.150""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Single Cylinder Handleset Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047040-br-single-cylinder-handleset.pdf""], [""Drilling Instructions - Handleset"", ""https://baldwinhardware.blob.core.windows.net/documents/5048346-br-drilling-handleset.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/columbus-handleset-x-ellipse-knob-arch-interior?variant=sc-colxellxtar-150,Done
85,Entry Number Of Cylinders,Model Number: SC.ADIxTAP.R.RAR.481,"[""https://images.baldwinhardware.com/is/image/Baldwin/bw_adi-481_c1?$bal%2DproductDetailLarge$""]","[""Dark Bronze is a rich, dark finish with deep bronze undertones which is hand-distressed to reflect a weathered rustic look.""]","[""Dark Bronze is a rich, dark finish with deep bronze undertones which is hand-distressed to reflect a weathered rustic look.""]","[[""Lock Type"", ""Tubular""], [""Style"", ""Rustic""], [""Lock Function"", ""Entry""], [""Lever Grip Length"", ""4-1/4""], [""Projection"", ""3-1/8""], [""Maximum Door Thickness"", ""2""], [""Minimum Door Thickness"", ""1-3/8""], [""Partial Model"", ""SC.ADIxTAP.R.RAR.481""], [""Entry Number Of Cylinders"", ""1.0""]]","[[""Single Cylinder Handleset Instructions"", ""https://baldwinhardware.blob.core.windows.net/documents/5047040-br-single-cylinder-handleset.pdf""], [""Drilling Instructions - Handleset"", ""https://baldwinhardware.blob.core.windows.net/documents/5048346-br-drilling-handleset.pdf""], [""Warranty"", ""https://baldwinhardware.blob.core.windows.net/sitefinity-assets/docs/default-source/warranty/baldwin-reserve-limited-warranties.pdf?sfvrsn=7bdfaa42_3""]]",https://www.baldwinhardware.com/p/adirondack-handleset-x-taper-lever-rustic-arch-interior?variant=sc-adixtapxrar-481,Done
