"id","id_product","name","price","discount_percentage_absolute","regular_price_amount","description_short","category_name","category_main","product_description","brief_description","ean13","upc","product_variation","quantidade","brand_name","brand_logo","animal","idade","porte","caracteristicas","alimento","gama","proteina_sabor","tipo_produto","image","image_links","name_variants","value","link","status","ref_number"
"1","19010","Royal Canin Exigent Mini Adult - Ração seca para cão de porte pequeno com apetite exigente","24,42 €","Poupar 5%
                                          ","25,71 €","<p>Ração seca para cães até 10 kg, com apetite caprichoso.</p>","Ração seca","Cão","Royal Canin Mini Exigent é especialmente formulado para agradar aos cães de apetite mais exigente. Adequado a cães com peso até 10kg, esta ração seca satisfaz o patudo a vários níveis. O croquete tem um formato de almofada, de textura crocante, e com um recheio saboroso e nutritivo. Para que o seu cão tenha uma alimentação saudável, é importante satisfazer as suas necessidades, sem necessidade de recorrer a guloseimas, quando ele se recusa a comer a ração. Assim, este alimento é nutricionalmente completo e de ótimo sabor. Com resultados comprovados: 99% dos cães ficaram satisfeitos com o paladar desta ração seca. BENEFÍCIOS SATISFAZ APETITES EXIGENTES DOSE DIÁRIA RECOMENDADA PESO ATIVIDADE NORMAL ATIVIDADE MODERADA ATIVIDADE ELEVADA 1 kg 22 g 26 g 29 g 3 kg 51 g 59 g 67 g 6 kg 86 g 99 g 113 g 10 kg 126 g 146 g 166 g COMPOSIÇÃO Proteína de carne de aves desidratada, gorduras de origem animal, arroz, isolado de proteína vegetal*, farinha de trigo pré-cozinhada, farinha de milho, proteínas hidrolisadas de origem animal, fibras vegetais, polpa de beterraba, sais minerais, óleo de peixe, frutooligossacarídeos, óleo de borragem, extrato de flor de tagete (fonte de luteína). *L.I.P.: Proteína selecionada pela sua elevadíssima digestibilidade ADITIVOS ADITIVOS NUTRICIONAIS Vitamina A 29500 UI; Vitamina D3 800 UI; E1 Ferro 38mg; E2 Iodo 3,9 mg; E4 Cobre 12 mg; E5 Manganésio 50 mg; E6 Zinco 133 mg; E8 Selénio 0,08 mg. Conservantes e Antioxidantes. CONSTITUINTES ANALÍTICOS Proteínas 30%; Gorduras 22%; Sais minerais 4,8%; Fibra bruta 2,6%.","Ração seca para cães até 10 kg, com apetite caprichoso. Ver mais ","3182550894050","1006401","3 kg","3 kg","Royal Canin","https://goldpet.pt/img/m/1.jpg","Cão","Adulto","Mini/Pequeno","Paladar exigente","Linha fisiológica Seco","Royal Canin Canine Care Nutrition","Carne","Alimentação","https://goldpet.pt/53581-large_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg","['https://goldpet.pt/53581-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/72584-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53575-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53576-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53577-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53578-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53579-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg', 'https://goldpet.pt/53580-medium_default/royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.jpg']","group[8]","534","https://goldpet.pt/racao-seca/19010-royal-canin-exigent-mini-adult-racao-seca-para-cao-de-porte-pequeno-com-apetite-exigente.html","Done1","009600789"
"2","19012","Royal Canin Mother & Babydog Starter - Em mousse","2,67 €","-5%","31,95 €","<p>Mousse para cadelas em gestação/lactação e cachorros, desde o desmame até aos 2 meses.</p>","Alimentos húmidos","Cão","Alimento em mousse para cadelas em gestação/lactação e cachorros, desde o desmame até aos 2 meses. Especialmente formulado para dar resposta aos requisitos da cadela no momento exigente da gestação e da lactação, assim como para ajudar o cachorro (deste o desmame até aos 2 meses), durante a transição do leite materno para alimentos sólidos. DOSE DIÁRIA RECOMENDADA IDADE EMSEMANAS QUANTIDADE EM LATAS 3-4 1/4 4-5 1/2 5-6 1+1/4 6-7 1+3/4 7-8 2 COMPOSIÇÃO Carne e subprodutos animais, cereais, derivados da origem vegetal, óleos e gorduras, leite e derivados do leite, sais minerais, leveduras. ADITIVOS Aditivos nutricionais: vitamina D3: 120 UI, E1 (Ferro) 4 mg, E2 (Iodo) 0,17 mg, E4 (Cobre) 1,4 mg, E5 (Manganésio) 1,3 mg, E6 (Zinco) 13 mg. CONSTITUINTES ANALÍTICOS Proteína 10%; Gordura 6%; Fibra bruta 1%; Minerais 1,50%.","Mousse para cadelas em gestação/lactação e cachorros, desde o desmame até aos 2 meses. Ver mais ","9003579311462","4077000","195 g","195 g      6 x 195 g      12 x 195 g","Royal Canin","https://goldpet.pt/img/m/1.jpg","Cão","Puppy/Júnior Starter & Mother","Grande/Gigante Mini/Pequeno Médio","","Húmido Linha fisiológica Patê/Mousse","Royal Canin Size Health Nutrition","Carne","Alimentação","https://goldpet.pt/80558-large_default/royal-canin-mother-babydog-starter-em-mousse.jpg","['https://goldpet.pt/80558-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80559-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80560-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80561-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80554-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80562-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80556-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80553-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80555-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg', 'https://goldpet.pt/80557-medium_default/royal-canin-mother-babydog-starter-em-mousse.jpg']","group[8]","528","https://goldpet.pt/alimentos-humidos/19012-royal-canin-mother-babydog-starter-em-mousse.html","Done1","009600007"
"3","4714","Copele - Comedouro p/ Cães","44,40 €",NULL,NULL,"<p><strong>Medidas:</strong></p>
<p>Comprimento - 31cm</p>
<p>Fundo - 26cm</p>
<p>Altura - 61cm</p>","Dispensadores","Cão","Em chapa galvanizada","Medidas: Comprimento - 31cm Fundo - 26cm Altura - 61cm Ver mais ",NULL,NULL,NULL,NULL,"Copele","https://goldpet.pt/img/m/38.jpg","Cão","","Todos os portes","","","","","","https://goldpet.pt/28363-large_default/copele-comedouro-p-caes.jpg","['https://goldpet.pt/28363-medium_default/copele-comedouro-p-caes.jpg']",NULL,NULL,"https://goldpet.pt/dispensadores/4714-copele-comedouro-p-caes-8431029012583.html","Done1","003200008"
"4","31227","Pote para guardar biscoitos - Ferribiella","17,46 €",NULL,NULL,"<p>Pote de plástico para armazenamento de ração ou snacks de cães e gatos.</p>","Contentores para ração","Cão","Pote feito em plástico transparente, adequado para armazenar a ração ou os biscoitos do seu animal de estimação. A tampa e de abertura de fácil. Garante o correto acondicionamento do alimento. CAPACIDADE: 2,2 kg.","Pote de plástico para armazenamento de ração ou snacks de cães e gatos. Ver mais ","8014302287672","CIO251-B","2,2 L",NULL,"Ferribiella","https://goldpet.pt/img/m/240.jpg","Cão Gato","Adulto Kitten Puppy/Júnior Sénior","Grande/Gigante Mini/Pequeno Médio","","","","","Acessórios","https://goldpet.pt/76287-large_default/pote-para-guardar-biscoitos-ferribiella.jpg","['https://goldpet.pt/76287-medium_default/pote-para-guardar-biscoitos-ferribiella.jpg']","group[16]","4007","https://goldpet.pt/contentores-para-racao/31227-pote-para-guardar-biscoitos-ferribiella.html","Done1","012600406"
"5","23397","Fuxtreme Poly Stick","5,69 €","Poupar 10%
                                          ","6,32 €","<p>Medida: 4cm</p>","Brinquedos","Cão","- Medidas: 22x7cm , 8x4cm","Medida: 4cm Ver mais ",NULL,NULL,NULL,NULL,"Ferribiella","https://goldpet.pt/img/m/240.jpg","Cão","Adulto Sénior Todas as idades","","","","","","Brinquedos","https://goldpet.pt/46867-large_default/fuxtreme-poly-stick.jpg","['https://goldpet.pt/46867-medium_default/fuxtreme-poly-stick.jpg']",NULL,NULL,"https://goldpet.pt/brinquedos/23397-fuxtreme-poly-stick-8014302257811.html","Done1","012600092"
"6","23408","Dudu Cão Chenille Beat","16,58 €","Poupar 10%
                                          ","18,43 €","<p>Medidas: 47x44x8cm</p>","Bonecos","Cão","","Medidas: 47x44x8cm Ver mais ","8014302255732","TP946",NULL,NULL,"Ferribiella","https://goldpet.pt/img/m/240.jpg","Cão","Adulto Sénior Todas as idades","","","","","","Brinquedos","https://goldpet.pt/46885-large_default/dudu-cao-chenille-beat.jpg","['https://goldpet.pt/46885-medium_default/dudu-cao-chenille-beat.jpg']",NULL,NULL,"https://goldpet.pt/bonecos/23408-dudu-cao-chenille-beat.html","Done1","012600114"
"7","23395","Fuxtreme Poly Bola","3,98 €","Poupar 10%
                                          ","4,43 €","<p>Medida: 7cm</p>","Bolas","Cão","","Medida: 7cm Ver mais ",NULL,NULL,NULL,NULL,"Ferribiella","https://goldpet.pt/img/m/240.jpg","Cão","Adulto Sénior Todas as idades","","","","","","Brinquedos","https://goldpet.pt/46863-large_default/fuxtreme-poly-bola.jpg","['https://goldpet.pt/46863-medium_default/fuxtreme-poly-bola.jpg']",NULL,NULL,"https://goldpet.pt/bolas/23395-fuxtreme-poly-bola-8014302257798.html","Done1","012600093"
"8","7848","KONG - Ball Extreme","7,82 €",NULL,NULL,"","KONG","Cão","Extreme Ball A bola extrema é a bola mais forte e durável do mercado. O brinquedo perfeito para cães que gostam de olhar, escolher e mastigar.- Feito da nossa borracha super durável KONG Extreme- Perfeito para pesquisar e escolher jogos ou para sessões de mastigação- Feito nos EUA UU- Disponível em dois tamanhos: Pequeno e Médio / Grande","Ver mais ","0035585181141","077025","Small",NULL,"Kong","https://goldpet.pt/img/m/44.jpg","Cão","Adulto Sénior Todas as idades","","","","","","Brinquedos","https://goldpet.pt/43268-large_default/kong-ball-extreme.jpg","['https://goldpet.pt/43268-medium_default/kong-ball-extreme.jpg']","group[1]","609","https://goldpet.pt/kong/7848-kong-ball-extreme.html","Done1","006900055"
"9","31566","Casaco Caldoso azul para cães - Ferribiella","20,12 €","Poupar 10%
                                          ","22,35 €","<p>Casaco para cães, ideal para dias de chuva. Para passeios confortáveis no inverno!</p>","Capas e casacos","Cão","Casaco para cães, quente e muito confortável, para os passeios durante o inverno! COMPOSIÇÃO: Exterior: 100% Nylon; Forro: 96% Poliéster, 4% Spandex; Acolchoamento: 100% Poliéster.","Casaco para cães, ideal para dias de chuva. Para passeios confortáveis no inverno! Ver mais ","8014302292225","ABF285/24-B","24 cm",NULL,"Ferribiella","https://goldpet.pt/img/m/240.jpg","Cão","Adulto Puppy/Júnior Sénior","Grande/Gigante Mini/Pequeno Médio","","","","","Acessórios Roupas e adereços","https://goldpet.pt/80160-large_default/casaco-caldoso-azul-para-caes-ferribiella.jpg","['https://goldpet.pt/80160-medium_default/casaco-caldoso-azul-para-caes-ferribiella.jpg', 'https://goldpet.pt/80158-medium_default/casaco-caldoso-azul-para-caes-ferribiella.jpg', 'https://goldpet.pt/80159-medium_default/casaco-caldoso-azul-para-caes-ferribiella.jpg']","group[4]","186","https://goldpet.pt/capas-e-casacos/31566-casaco-caldoso-azul-para-caes-ferribiella.html","Done1","012660258"
"10","19097","Royal Canin Chihuahua Adult - Alimento em patê para cão de raça","1,06 €","-5%","15,60 €","<p>Alimento húmido em patê para cães adultos de raça Chihiahia. Contribui para a<strong> saúde do pelo</strong>, ajuda a <strong>estimular o apetite</strong> e promove um <strong>trânsito intestinal saudável</strong>.</p>","Alimentos húmidos","Cão","Indicado para Chihuahuas com mais de 8 meses, Royal Canin Chihuahua foi especificamente formulado tendo em conta as necessidades nutricionais do seu cão adulto. Este alimento em patê foi desenvolvido para ajudar o seu cão a ter um trânsito intestinal saudável. Também contém nutrientes que ajudam a nutrir a pele e o pelo dos Chihuahuas, para os manter saudáveis. A textura deste alimento foi adaptada para aumentar a palatabilidade e satisfazer, inclusive, o Chihuahua com o apetite mais caprichoso! A suave textura do patê é também a ideal para as mandíbulas das raças de cães miniaturas, como o Chihuahua, pois simplificam a mastigação e contribuem para uma ingestão e digestão ótimas. Para atender às preferências particulares de cada cão, Royal Canin Chihuahua também está disponível como alimento seco, na forma de crocantes e aromáticos croquetes. Se pondera oferecer uma alimentação mista, simplesmente terá que seguir as indicações relativas às doses diárias para garantir que o seu cão recebe a quantidade exata tanto de alimento húmido como seco para um benefício ótimo. BENEFÍCIOS SAÚDE DA PELE E DO PELO TRÂNSITO INTESTINAL SAUDÁVEL ESTIMULAÇÃO DO APETITE DOSE DIÁRIA RECOMENDADA PESO PATÊ PATÊ + CROQUETES 1 kg 1+1/2 saq. 1/2SAQ.+ 17 g 2 kg 2+1/2 saq. 37 g 3 kg 3 saq. 54 g COMPOSIÇÃO Carnes e subprodutos animais, cereais, subprodutos de origem vegetal, óleos e gorduras, sais minerais, açúcares. ADITIVOS/KG Aditivos nutricionais: Vitamina D3 179 UI, E1 (Ferro) 27 mg, E2 (Iodo) 0,16 mg, E4 (Cobre) 1,3 mg, E5 (Manganésio) 8,4 mg, E6 (Zinco) 84 mg. Aditivos tecnológicos: Clinoptilolite de origem sedimentar 2 g. CONSTITUINTES ANALÍTICOS Proteína 8,5%; Gordura 5,6%; Fibra bruta 1,4%; Minerais 2,1%; NFE 3,4%.","Alimento húmido em patê para cães adultos de raça Chihiahia. Contribui para a saúde do pelo, ajuda a estimular o apetite e promove um trânsito intestinal saudável. Ver mais ","9003579001509","410354","85 g","85 g      12 x 85 g","Royal Canin","https://goldpet.pt/img/m/1.jpg","Cão","Adulto","Mini/Pequeno","","Húmido Linha fisiológica Patê/Mousse","Royal Canin Breed Health Nutrition","Carne","Alimentação","https://goldpet.pt/53839-large_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg","['https://goldpet.pt/53839-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/78932-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/53836-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/53834-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/53835-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/53838-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg', 'https://goldpet.pt/53837-medium_default/royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.jpg']","group[8]","212","https://goldpet.pt/alimentos-humidos/19097-royal-canin-chihuahua-adult-alimento-em-pate-para-cao-de-raca.html","Done1","009600362"
